# Prose that promises a code block where none follows.
# A ratchet: entries may be removed as holes are filled, never added.
# Regenerate with check-missing-code-blocks.py --write-baseline.
Advanced-Topics-Under-The-Hood.asciidoc	You can override these methods in the draggable components:
Miscellaneous-Features.asciidoc	These asynchronous calls make things a bit painful to wade through, so the API wraps them in a simplified synchronous version:
Miscellaneous-Features.asciidoc	To solve this sort of used case you have two APIs in `Display`:
Miscellaneous-Features.asciidoc	You can add more than one attachment by putting them directly into the attachment map for example:
Miscellaneous-Features.asciidoc	You can install the bundle using code like this:
Miscellaneous-Features.asciidoc	You can send a task to the thread using:
Monetization.asciidoc	And you also provide a button to allow the user to manually synchronize the receipts:
Monetization.asciidoc	In the hello world app you'll use this information in a few different places. On your main form you'll include a label to show the current expiry date, and you allow the user to press a button to synchronize receipts manually if they think the value is out of date:
Monetization.asciidoc	On the server-side, your REST controller is a standard JAX-RS REST interface. The Netbeans web service wizard generated it and then it was modified to suit the purposes here. The methods of the `ReceiptsFacadeREST` class for the REST API are shown here:
Monetization.asciidoc	The `createRESTClient()` method shown there creates a `RESTfulWebServiceClient` and configuring it to use basic authentication with a username and password. The idea is that your user would have logged into your app at some point, and you would have a username and password on hand to pass back to the web service with the receipt data so that you can connect the subscription to a user account. The source of that method is listed here:
Monetization.asciidoc	The general usage is as follows:
Monetization.asciidoc	The source for your ReceiptStore is as follows:
Monetization.asciidoc	You are now ready to see the full magic of the `validateAndSaveReceipt()` method in all its glory:
Native-Themes.asciidoc	`UIManager.addThemeProps` after the theme has been installed:
Network-Connectivity.asciidoc	To advertise an HTTP server you wrote on port 8080:
Network-Connectivity.asciidoc	To associate the device with a specific SSID:
Notifications-And-Background-Execution.asciidoc	before; the bean has been extended with fluent, backward-compatible setters:
Notifications-And-Background-Execution.asciidoc	then reference it from a notification with `setChannelId(...)`:
Printing.asciidoc	`Printer.printImage(image, listener)` prints a `com.codename1.ui.Image` directly. The image is encoded to a temporary PNG file behind the scenes and the file is deleted once the print flow finishes:
SVG-Transcoder.asciidoc	the generated class directly:
The-Components-Of-Codename-One.asciidoc	Call the builder from a Maven plugin, an Ant task or a one-shot `main`:
The-Components-Of-Codename-One.asciidoc	Let start by exploring how you can achieve this UI that fetches data from a webservice:
The-Components-Of-Codename-One.asciidoc	This code should output "The result was 7" to the console. It's fully asynchronous, so you can include this code anywhere without worrying about it "bogging down" your code. The full signature of this form of the https://www.codenameone.com/javadoc/com/codename1/ui/BrowserComponent.html#execute(java.lang.String,com.codename1.util.SuccessCallback)[execute()] method is:
Working-With-iOS.asciidoc	Repeating notifications will continue until they're canceled by the app. You can cancel a single notification by calling:
appendix_goal_generate_graphql.adoc	The `@GraphQLClient` interface looks like:
appendix_goal_generate_graphql.adoc	an `OnComplete<GraphQLResponse<T>>`:
appendix_goal_generate_graphql.adoc	ends the stream:
appendix_goal_generate_grpc.adoc	Call sites use the static factory:
appendix_goal_generate_grpc.adoc	The `@GrpcClient` interface looks like:
appendix_goal_generate_openapi.adoc	Call sites use the static factory:
io.asciidoc	In the above code you do the following:
io.asciidoc	Since you assume most developers reading this will be familiar with Java here is the way to implement the multipart upload in the servlet API:
io.asciidoc	That's what the new method of `URLImage` does:
io.asciidoc	There are many methods of interest to keep an eye for:
io.asciidoc	database by name:
performance.asciidoc	In the new Contacts demo you have a share button for each contact, the code for constructing a `ShareButton` looks like this:
performance.asciidoc	These icons are in a shared resource file that you load and don't cache. The initial workaround was to cache this resource but a better solution was to convert this code:
security.asciidoc	There are two simple methods in the `Util` class:
security.asciidoc	You can leverage that knowledge to change the encryption password on the encryption storage using pseudo-code like this:
